,date_jour,code_site,number_of_call_drop_3g,techno
294,20230309,OCI0314,121,3G
295,20230309,OCI0315,227,3G
296,20230309,OCI0316,102,3G
297,20230309,OCI0317,373,3G
298,20230309,OCI0319,115,3G
299,20230309,OCI0320,290,3G
300,20230309,OCI0321,363,3G
301,20230309,OCI0322,174,3G
302,20230309,OCI0323,896,3G
303,20230309,OCI0324,83,3G
304,20230309,OCI0325,86,3G
305,20230309,OCI0326,188,3G
306,20230309,OCI0327,57,3G
307,20230309,OCI0328,166,3G
308,20230309,OCI0329,134,3G
309,20230309,OCI0330,263,3G
310,20230309,OCI0331,400,3G
311,20230309,OCI0332,88,3G
312,20230309,OCI0333,49,3G
313,20230309,OCI0334,126,3G
314,20230309,OCI0335,201,3G
315,20230309,OCI0336,83,3G
316,20230309,OCI0337,127,3G
317,20230309,OCI0338,40,3G
318,20230309,OCI0339,162,3G
319,20230309,OCI0341,86,3G
320,20230309,OCI0342,102,3G
321,20230309,OCI0343,100,3G
322,20230309,OCI0344,439,3G
323,20230309,OCI0345,134,3G
324,20230309,OCI0347,113,3G
325,20230309,OCI0348,120,3G
326,20230309,OCI0349,101,3G
327,20230309,OCI0350,97,3G
328,20230309,OCI0351,79,3G
329,20230309,OCI0352,98,3G
330,20230309,OCI0353,61,3G
331,20230309,OCI0354,141,3G
332,20230309,OCI0355,203,3G
333,20230309,OCI0356,78,3G
334,20230309,OCI0357,206,3G
335,20230309,OCI0358,161,3G
336,20230309,OCI0359,100,3G
337,20230309,OCI0360,273,3G
338,20230309,OCI0361,146,3G
339,20230309,OCI0362,102,3G
340,20230309,OCI0363,247,3G
341,20230309,OCI0364,64,3G
342,20230309,OCI0365,76,3G
343,20230309,OCI0366,439,3G
344,20230309,OCI0367,107,3G
345,20230309,OCI0368,109,3G
346,20230309,OCI0369,61,3G
347,20230309,OCI0370,74,3G
348,20230309,OCI0371,35,3G
349,20230309,OCI0372,41,3G
350,20230309,OCI0373,138,3G
351,20230309,OCI0374,107,3G
352,20230309,OCI0375,79,3G
353,20230309,OCI0376,211,3G
354,20230309,OCI0377,216,3G
355,20230309,OCI0378,454,3G
