,date_jour,code_site,min_cssr_cs,max_cssr_cs,avg_cssr_cs,median_cssr_cs,techno
80,20230125,OCI0082,0.0,100.0,95.44947368421053,,2G
81,20230125,OCI0083,0.0,100.0,91.51138461538461,100.0,2G
82,20230125,OCI0084,0.0,100.0,94.01809523809524,,2G
83,20230125,OCI0085,0.0,100.0,87.92180112570357,100.0,2G
84,20230125,OCI0086,0.0,100.0,92.00719101123596,100.0,2G
85,20230125,OCI0087,0.0,100.0,98.82873949579832,99.78,2G
86,20230125,OCI0088,0.0,100.0,89.0127935222672,100.0,2G
87,20230125,OCI0089,0.0,100.0,92.20284552845528,100.0,2G
88,20230125,OCI0090,0.0,100.0,79.7136210131332,100.0,2G
89,20230125,OCI0091,0.0,100.0,90.57015180265654,99.935,2G
90,20230125,OCI0092,0.0,100.0,97.10612781954887,100.0,2G
91,20230125,OCI0093,0.0,100.0,91.55471153846153,,2G
