,date_jour,code_site,trafic_voix,trafic_data,techno
193,20230223,OCI0066,114.11,0.49082543,2G
194,20230223,OCI0066,119.36,28.42,3G
195,20230223,OCI0066,,57.406341,4G
196,20230223,OCI0067,419.34,0.43161078,2G
197,20230223,OCI0067,157.1,34.81,3G
198,20230223,OCI0067,,71.957555,4G
199,20230223,OCI0068,305.35,0.52796987,2G
200,20230223,OCI0068,402.99,54.65,3G
201,20230223,OCI0068,,163.752734,4G
202,20230223,OCI0069,157.43,0.2297265,2G
203,20230223,OCI0069,606.13,55.37,3G
204,20230223,OCI0069,,518.589684,4G
205,20230223,OCI0070,598.18,1.09987139,2G
206,20230223,OCI0070,1178.96,170.57,3G
207,20230223,OCI0070,,659.852609,4G
208,20230223,OCI0071,284.52,0.12343145,2G
209,20230223,OCI0071,580.16,69.15,3G
210,20230223,OCI0071,,475.260875,4G
211,20230223,OCI0072,124.01,0.20517878,2G
212,20230223,OCI0072,384.43,28.41,3G
213,20230223,OCI0072,,243.522277,4G
214,20230223,OCI0073,212.93,0.65928548,2G
215,20230223,OCI0073,173.77,17.72,3G
216,20230223,OCI0073,,93.657953,4G
217,20230223,OCI0074,162.68,0.1945541,2G
218,20230223,OCI0074,86.28,9.07,3G
219,20230223,OCI0074,,38.578269,4G
220,20230223,OCI0075,493.38,0.79589482,2G
221,20230223,OCI0075,1226.39,118.89,3G
222,20230223,OCI0075,,1218.423991,4G
223,20230223,OCI0076,673.12,2.3857622,2G
224,20230223,OCI0076,1678.26,334.16,3G
225,20230223,OCI0076,,1485.64162,4G
226,20230223,OCI0077,447.55,1.15075294,2G
227,20230223,OCI0077,1193.33,138.68,3G
228,20230223,OCI0077,,1077.374537,4G
229,20230223,OCI0078,438.17,0.25673954,2G
230,20230223,OCI0078,87.5,11.34,3G
231,20230223,OCI0078,,7.625694,4G
232,20230223,OCI0080,340.24,0.43090814,2G
233,20230223,OCI0080,395.61,59.95,3G
234,20230223,OCI0080,,103.481424,4G
235,20230223,OCI0081,352.82,0.53694238,2G
236,20230223,OCI0081,1026.97,230.74,3G
237,20230223,OCI0081,,496.692345,4G
238,20230223,OCI0082,278.9,0.50444381,2G
239,20230223,OCI0082,,205.903044,4G
240,20230223,OCI0083,365.44,0.82688406,2G
241,20230223,OCI0083,175.25,30.27,3G
242,20230223,OCI0083,,61.192733,4G
243,20230223,OCI0084,470.45,0.2544314,2G
244,20230223,OCI0084,330.55,38.79,3G
245,20230223,OCI0084,,68.484665,4G
246,20230223,OCI0085,246.13,0.5239425,2G
247,20230223,OCI0085,445.52,46.47,3G
248,20230223,OCI0085,,222.024152,4G
249,20230223,OCI0086,206.5,0.32988195,2G
250,20230223,OCI0086,841.21,89.05,3G
251,20230223,OCI0086,,376.435093,4G
252,20230223,OCI0087,414.07,0.41361065,2G
253,20230223,OCI0087,1381.48,104.36,3G
254,20230223,OCI0087,,781.26403,4G
255,20230223,OCI0088,483.88,0.87834039,2G
256,20230223,OCI0088,314.06,42.3,3G
257,20230223,OCI0088,,126.620184,4G
258,20230223,OCI0089,295.1,1.36646893,2G
259,20230223,OCI0089,268.45,52.36,3G
260,20230223,OCI0089,,,4G
261,20230223,OCI0090,95.1,0.24098277,2G
262,20230223,OCI0090,500.17,36.22,3G
263,20230223,OCI0090,,391.157591,4G
264,20230223,OCI0091,648.93,0.40096849,2G
265,20230223,OCI0091,164.55,38.6,3G
